plane,primitive_id,canonical_name,family,core_move,snapshot_path,sha256,active_feature_ids
meaning_plane,PRM-HUM-009,Reference Funny Filter,humor_distortion,Sweeten the character or content with shared references that make the audience recognize themselves. ,sources/cmf_primitive_registry_snapshot/meaning_plane/_golden/PRM-HUM-009.yaml,f4a5c42c74be88cd3c8d1dfaf4de1cf1a99829ce12dcfb2edfd848f7620cfd9a,
meaning_plane,PRM-BUS-001,Perception and Guidance Stack,design_business,"Design visuals, text hierarchy, and action cues as one integrated system that controls where the eye goes and what the hand does next. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-001.yaml,9eebedc6b3c9bb55ab2ec85ae239394d9ebac629b9e44a579f5e11d3fc03db4e,F04|F20
meaning_plane,PRM-BUS-002,Emotional Journey / Peak-End,design_business,Structure the emotional path of an experience so the peak intensity and the remembered ending compound to create lasting trust and memory. ,sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-002.yaml,9bf3f30533edd5d7fb0f6ec37fa02b7e270f09b47a911c8bb4b650d3ea9fad69,
meaning_plane,PRM-BUS-003,Narrative Structural Backbone,design_business,"Organize the user experience or content piece along a deliberate narrative arc, giving it a clear beginning, a tension-building middle, and a resolving end. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-003.yaml,9a8842012175b1b370d2aa4d29c5401b5b791b6aa30e254c31325cf9dfd2ee4a,
meaning_plane,PRM-BUS-004,Design for Lived Use,design_business,"Optimize the content and interface for the user's real emotional state, device,  and physical moment of use, rather than for aesthetic purity or the creator's intent. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-004.yaml,703eef8a04cdcf6123c60be3e519c3f1e7a0fd6679ec543ac71f9be2fb4d3dcd,
meaning_plane,PRM-BUS-005,FEPS Benefit Translation,design_business,"Translate every feature, service, or intellectual framework into its direct Financial, Emotional, Physical, or Spiritual consequence for the client. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-005.yaml,e2a0baa61265506806b68bd9323a3dfaf0ad73f6d70f5e347e9a9d89637fa5f7,
meaning_plane,PRM-BUS-006,Hierarchy as Attention Routing,design_business,"Assign distinct, uncompetitive visual weights to different semantic roles in the content, ensuring the viewer's eye is routed exactly where it needs to go, in the exact order it needs to go there. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-006.yaml,6abfae7c921e5768d459ceeb57b073ba9ba2865ad03e907bcb3361a72b391133,F04|F17|F19
meaning_plane,PRM-BUS-007,Social Media as Relationship,design_business,"Treat every piece of content not as an end in itself, but as a touchpoint designed to advance a relationship, build trust, or invite further connection. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-007.yaml,12d1aaf5ee3657e7169a4c3daa875e21719b9a83d857cf6a8c66e716484ea360,F14
meaning_plane,PRM-BUS-008,Invitation-Based Sales,design_business,"Design the sales sequence as a series of low-friction, escalating invitations based on demonstrated trust, rather than a single, high-pressure conversion attempt. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-008.yaml,da36c400ead7a8bd9eba6ce3b3b762724eb85a0342f701e128b5edfc9e86300b,
meaning_plane,PRM-BUS-009,Dignity Reduces Friction,design_business,"Remove shame, judgment, and exposure from the user's path, replacing them with interactions that preserve the user's dignity and autonomy. ",sources/cmf_primitive_registry_snapshot/meaning_plane/design_business/PRM-BUS-009.yaml,1148a00b66feba0d43a0cc55acb0c6a52cd74058823e20ae78201cc04801efb0,
