spec_id,title,product,primary_owner,writer_lane,writing_wave,controlling_frs,controlling_stories,output_path_class,path,sha256,quality_state,authority_state,build_authority
TS-AHP-001,"Program Authority, Current-State Reconciliation, and Brownfield Source Admission",Atomic Harness Pipeline,Atomic Harness Pipeline,A,0,FR-001;FR-002;FR-003;FR-004;FR-005;FR-006;FR-117,ST-01.01,DIRECT_PRODUCT_SPEC_PATH,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,5e7fc914dbcfa330ffd903c318158639ca74dc8fcb68eafd9a172772aca89444,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AIR-001,"Constitutional Authority, Activation Domains, and Epistemic State",Activative Intelligence Runtime,Program Control,A,0,AIR-FR-001;AIR-FR-002;AIR-FR-003;AIR-FR-004;AIR-FR-005;AIR-FR-006,AIR-ST-01.01;AIR-ST-01.02;AIR-ST-01.03,DIRECT_PRODUCT_SPEC_PATH,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,622b32dc08259bc8148c60f5865359c6a76de37037103789ff1fda0f842c6cbc,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-REL-001,"Format 02 Deferral, Historical Evidence Isolation, and Future Activation Gate",Program Control,Program Control,A,0,FR-079;FR-080;FR-081;FR-082;FR-083;FR-084,ST-11.01,DIRECT_PRODUCT_SPEC_PATH,CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,0acf352384fe54f5126f483035812851968d49a2dcb4254f8b8ab863b04a2568,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AHP-002,AtomicHarnessDefinition Intake and HarnessExecutionBindingManifest,Atomic Harness Pipeline,Atomic Harness Pipeline,A,1,FR-007;FR-008;FR-009;FR-010;FR-011;FR-012,ST-03.01,DIRECT_PRODUCT_SPEC_PATH,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,3e76ee7e4ec8f3b288a58bb8b8eb886195d9ad17097c67ded613c22fbb3dccd4,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AIR-002,"Identity, Context Premise, Resonance, and Matrix of Edging",Activative Intelligence Runtime,Activative Intelligence Runtime,B,1,AIR-FR-007;AIR-FR-008;AIR-FR-009;AIR-FR-010;AIR-FR-011;AIR-FR-012,AIR-ST-02.01;AIR-ST-02.02;AIR-ST-02.03,DIRECT_PRODUCT_SPEC_PATH,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,258c711d84dbbf2e8abc79e910d825cb8370dd0b7e0940e81d91d8a93e1b43e5,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AIR-004,Primitive Family Registry and Primitive Binding,Activative Intelligence Runtime,Activative Intelligence Runtime,B,1,AIR-FR-019;AIR-FR-020;AIR-FR-021;AIR-FR-022;AIR-FR-023;AIR-FR-024;FR-169;FR-170,AIR-ST-04.01;AIR-ST-04.02;AIR-ST-04.03;ST-12.05,DIRECT_PRODUCT_SPEC_PATH,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,c30b656d288f4e781564f2cdf9a39acab79c14e6cdace02d88df14869f9edf58,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AIR-003,Activation Hypothesis Portfolio and Comparative Search,Activative Intelligence Runtime,Activative Intelligence Runtime,B,2,AIR-FR-013;AIR-FR-014;AIR-FR-015;AIR-FR-016;AIR-FR-017;AIR-FR-018,AIR-ST-03.01;AIR-ST-03.02;AIR-ST-03.03,DIRECT_PRODUCT_SPEC_PATH,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-003.md,ce9ac739346789d115ada80c44b568c28e61ce68f0ae99bb55b0962c875d430c,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AIR-007,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",Activative Intelligence Runtime,Activative Intelligence Runtime,B,2,AIR-FR-037;AIR-FR-038;AIR-FR-039;AIR-FR-040;AIR-FR-041;AIR-FR-042;FR-166;FR-175;FR-176;FR-177;FR-178;FR-179,AIR-ST-07.01;AIR-ST-07.02;AIR-ST-07.03;ST-12.03;ST-13.01;ST-13.02;ST-13.03,DIRECT_PRODUCT_SPEC_PATH,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,e6a2b106a751463bd14be44b6b36bbb14e7f6ff05984fae85c5357d7bc6199ec,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AIR-005,"Primitive Coalition Contract, Coalition Signature, Edge Product, and Steering",Activative Intelligence Runtime,Activative Intelligence Runtime,B,2,AIR-FR-025;AIR-FR-026;AIR-FR-027;AIR-FR-028;AIR-FR-029;AIR-FR-030;FR-164;FR-171;FR-172;FR-173;FR-174,AIR-ST-05.01;AIR-ST-05.02;AIR-ST-05.03;ST-12.01;ST-12.06;ST-12.07;ST-12.08,DIRECT_PRODUCT_SPEC_PATH,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,5dcf631efc4f68f40edd0991ca3ae4be9073da68aa441c52d37e874e70a43e49,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
TS-AIR-008,Planned Activative Intelligence and Interview Asset Contracts,Activative Intelligence Runtime,Activative Intelligence Runtime,B,3,AIR-FR-043;AIR-FR-044;AIR-FR-045;AIR-FR-046;AIR-FR-047;AIR-FR-048,AIR-ST-08.01;AIR-ST-08.02;AIR-ST-08.03,DIRECT_PRODUCT_SPEC_PATH,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,e8fac04b295ec742621e92735475f2c603f16b69b26f67b5e5c840ab6ddb16a0,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False
