artifact_path,artifact_type,verdict,reason,required_batch,owner,status
docs/product-authority/VAE_V1_1_ACTIVATIVE_VISUAL_CONTRACT_AMENDMENT.md,authority_input,UNCHANGED,"Binding local copy of the amendment; remains the source anchor and is not patched by alignment.",A,product_authority,authoritative_input_unchanged
prd/05-features/F02-visual-asset-demand-intake.md,prd_feature,PATCH_REQUIRED,"Adopt strengthened FR-009 wording while preserving stable ID and all unaffected F02 content.",B,product_authority,mapped_not_patched_batch_a
prd/05-features/F14-visual-evaluation-profiles.md,prd_feature,PATCH_REQUIRED,"Adopt strengthened FR-107, FR-108, and FR-111 wording without rewriting unaffected evaluation requirements.",B,product_authority,mapped_not_patched_batch_a
prd/13-implementation-readiness-handoff.md,prd_readiness,PATCH_REQUIRED,"Add constitutional alignment prerequisites and retain all existing implementation blockers.",B,product_authority,mapped_not_patched_batch_a
prd/index.md,prd_index,PATCH_REQUIRED,"Register the binding amendment and V1.1 authority without replacing the V1 baseline.",B,product_authority,mapped_not_patched_batch_a
prd/PRD_COMBINED.md,generated_prd,PATCH_REQUIRED,"Regenerate only after sharded PRD and authority-index patches; do not hand-edit as a primary source.",B,product_authority,mapped_not_patched_batch_a
governance/PRODUCT_CONSTITUTION.yaml,governance,PATCH_REQUIRED,"Add Constitution 1.1 precedence and required visual-demand layers while preserving existing ownership boundaries.",B,governance_owner,mapped_not_patched_batch_a
governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml,governance,PATCH_REQUIRED,"Add Activative precedence, visual-semantics-before-production, visual-narrative-before-composition, and Expression Moment lineage protections.",B,architecture_authority,mapped_not_patched_batch_a
governance/READINESS_HARD_GATES.yaml,readiness_gate,PATCH_REQUIRED,"Add role, pattern, payoff, wrong-reading, no-text, and feature-contract hard gates plus constitutional demand blockers.",B,release_authority,mapped_not_patched_batch_a
governance/REQUIREMENTS_REGISTRY.yaml,requirement_registry,PATCH_REQUIRED,"Patch the four stable requirement records and version metadata without changing the 176-ID inventory.",B,product_authority,mapped_not_patched_batch_a
governance/REQUIREMENTS_REGISTRY.json,requirement_registry,PATCH_REQUIRED,"Regenerate the JSON projection from the patched stable requirement records.",B,product_authority,mapped_not_patched_batch_a
governance/REQUIREMENTS_COVERAGE_MAP.md,coverage_registry,PATCH_REQUIRED,"Revalidate coverage against unchanged IDs and the new acceptance obligations.",B,product_authority,mapped_not_patched_batch_a
governance/SOURCE_REGISTER.md,source_registry,PATCH_REQUIRED,"Append the verified Constitution 1.1 source while preserving the repository-specific path rebases and source evidence.",B,release_curator,mapped_not_patched_batch_a
governance/SOURCE_REGISTER.json,source_registry,PATCH_REQUIRED,"Regenerate the JSON source projection after the governed source append.",B,release_curator,mapped_not_patched_batch_a
handoff/ARCHITECTURE_HANDOFF.md,architecture_handoff,PATCH_REQUIRED,"Add the constitutional contract and non-inference obligations for later specification patches.",B,architecture_authority,mapped_not_patched_batch_a
handoff/FEATURE_TECH_SPEC_TEMPLATE.md,spec_template,PATCH_REQUIRED,"Require future specs to cover amended demand, lineage, locks, and evaluation evidence.",B,architecture_authority,mapped_not_patched_batch_a
contracts/README.md,contract_boundary,PATCH_REQUIRED,"Clarify V1.1 context while retaining the Stage 3 rule that shared-boundary files are comparison fixtures and Delegation remains canonical.",B,vae_contract_owner,mapped_not_patched_batch_a
docs/tech-specs/ARCHITECTURE_BASELINE_MANIFEST.md,spec_baseline,PATCH_REQUIRED,"Register V1.1 authority and the bounded delta without replacing the Stage 2 architecture baseline.",B,architecture_authority,mapped_not_patched_batch_a
docs/tech-specs/DELTA_ADR_REGISTER.md,adr_register,PATCH_REQUIRED,"Record whether new or amended ADRs are required for opaque lineage preservation, conditional applicability, and hard-gate profiles; no ADR is written in Batch A.",B,architecture_authority,mapped_not_patched_batch_a
docs/tech-specs/STAGE2_SPECIFICATION_INDEX.md,spec_index,PATCH_REQUIRED,"Map the constitutional delta to affected specifications and retain the completed Stage 2 verdict as historical evidence.",B,architecture_authority,mapped_not_patched_batch_a
docs/tech-specs/STAGE2_VALIDATION_REPORT.md,spec_validation,PATCH_REQUIRED,"Re-run validation only after bounded spec patches and report V1.1 coverage separately from the historical Stage 2 pass.",B,architecture_authority,mapped_not_patched_batch_a
docs/tech-specs/VAE_REQUIREMENT_COVERAGE_MATRIX.csv,spec_coverage,PATCH_REQUIRED,"Refresh rows for FR-009, FR-107, FR-108, and FR-111 and their acceptance evidence without changing ownership counts.",B,architecture_authority,mapped_not_patched_batch_a
docs/tech-specs/TS-VAE-01-DEMAND-INTAKE-AND-PRODUCTION-PLAN-IR.md,technical_spec,PATCH_REQUIRED,"Preserve all new demand layers as authoritative bindings, reject missing layers, and prohibit recognition-carrier or viewer-role inference.",B,vae_architecture_owner,mapped_not_patched_batch_a
docs/tech-specs/TS-VAE-02-DYNAMIC-WORKCELL-AND-CAPABILITY-ROUTING.md,technical_spec,PATCH_REQUIRED,"Route from contracted semantics and T/V requests only; do not let bounded interpretation choose upstream meaning.",B,vae_architecture_owner,mapped_not_patched_batch_a
docs/tech-specs/TS-VAE-03-COMFYUI-WORKFLOW-COMPILER-AND-REGISTRIES.md,technical_spec,PATCH_REQUIRED,"Materialize contracted carriers, narrative, features, and T/V without adding semantic goals or model-default meaning.",B,vae_architecture_owner,mapped_not_patched_batch_a
