spec_id,writing_wave,path,sha256,quality_state,authority_state,build_authority,output_path_class,writer_execution_mode,receipt_result,method_concern
TS-AHP-001,0,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,5e7fc914dbcfa330ffd903c318158639ca74dc8fcb68eafd9a172772aca89444,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-001,0,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,622b32dc08259bc8148c60f5865359c6a76de37037103789ff1fda0f842c6cbc,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,PASS,
TS-REL-001,0,CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,0acf352384fe54f5126f483035812851968d49a2dcb4254f8b8ab863b04a2568,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AHP-002,1,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,3e76ee7e4ec8f3b288a58bb8b8eb886195d9ad17097c67ded613c22fbb3dccd4,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-002,1,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,258c711d84dbbf2e8abc79e910d825cb8370dd0b7e0940e81d91d8a93e1b43e5,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,PASS,
TS-AIR-004,1,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,c30b656d288f4e781564f2cdf9a39acab79c14e6cdace02d88df14869f9edf58,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-003,2,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-003.md,ce9ac739346789d115ada80c44b568c28e61ce68f0ae99bb55b0962c875d430c,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-007,2,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,e6a2b106a751463bd14be44b6b36bbb14e7f6ff05984fae85c5357d7bc6199ec,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,PASS,
TS-AIR-005,2,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,5dcf631efc4f68f40edd0991ca3ae4be9073da68aa441c52d37e874e70a43e49,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-008,3,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,e8fac04b295ec742621e92735475f2c603f16b69b26f67b5e5c840ab6ddb16a0,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-014,3,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-014.md,5f2644d073c473416f07fd4d67952c5212f267c4fe83726075f98104cbcccb0a,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,PASS,
TS-AIR-006,3,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-006.md,f7e8b5ab03959fb503cbf5b862d4a139d35272e49f708372e40981721505a4a4,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-013,3,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-013.md,ffeb0b3ea633fbc2b6286fdc88f0e3c7917c969533eed2e5275edf7cdeaf4672,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-SKL-001,3,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-SKL-001.md,6ca3c55f34f91efbe7250e15a7aad63c200abdbbd7a06da31f3d676f7c30a35b,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-009,4,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-009.md,f904f8a996895917098e28f3ee99c0162dd34efdc4a07aae36f4dad069c5ca52,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-INT-001,4,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-001.md,ca13c9fdcc3b840533de2a955a5388497a434a0b7f94950978012536fd4301e8,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-INT-007,5,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-007.md,98978c560ba216707fcc7d26305de1f2c42e9391f09db20aa4fc97a69fe08dbc,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-INT-002,5,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-002.md,1aff9aca4776d0dbb8254882814b6277303258924990a0f75640798768f4123d,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-INT-003,5,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-003.md,d6075ebbc317a2e9f363bebfedda78dcf7d8d31dc1377dbc15b212f7800bd1d6,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-INT-006,6,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-006.md,3fb216913d8e0c52e3a51db65b6a3c848240cc3d040f9806fd8d3c85a443f58d,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-INT-004,7,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-004.md,e6147fc8ca8f8d6d3a0ff8954336fe9b844c8e18e45c41b330c558f7d87a0d5a,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-011,8,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-011.md,c48ef679872bfa3e8bf2bd40ea44c3f4d18da30b3d05d19a99d5131fe26dd00b,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-INT-005,8,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-005.md,ffdac05544b34230765c0e3f0eca32f77a471886fdb1871ecec4ba7b536f6416,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-015,9,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-015.md,58946bef28d60b991fd2897429f199534c104b9096b977125f2e5b6a710a03d8,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-016,10,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-016.md,5e4437baff399f65a2b0b63c6f3a43e91145fbd188dbcb503bf67cc09e24cddc,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AHP-003,11,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-003.md,072041914b836be5a45e80ee87102cc490f0927a946633e78806bee63e3578ed,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-017,11,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-017.md,0e87466a326eac865a66609d2609a1fc8006f5b32a5a847bd01e36e488363a81,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-VID-001,12,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-001.md,cfa33fdc9fcfc0a98c1b73f9ef6ed970b906774f5f87deb33fbde8fd385c2cd8,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-AIR-019,12,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-019.md,515e42a7e015c212f9f972b4e78e1e7aa0558816448f10ff18db9b9a7f7ecd5e,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-ANI-001,12,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-ANI-001.md,8bce45fdf570d41a263f5df882d2297ce52fa1fef7615d534c025b1c8cc12ff9,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-DEL-001,12,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-DEL-001.md,aba43b66766795436b2073b528a486e7dbdb4cc48638ca21a1642c0e36e6d751,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-EVAL-001,12,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-EVAL-001.md,0c3a47dc3cfb331630df794bec4869c71d5fc70894b6f0fd77b08068ff74024f,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-STA-001,12,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-STA-001.md,423eee94e20ab263fbbc1d10fefd4a687e823491c3eba1ece66acfcf0302e160,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
TS-VID-002,13,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-002.md,ea8f83e732ac9da4ff8c31816ba9ad7e6c6a8bf866b1b6a5ae4c3bb4c9bc9b13,WRITTEN_PENDING_AUDIT,CANDIDATE_NOT_CURRENT,False,DIRECT_PRODUCT_SPEC_PATH,CHILD_WRITER_OR_PRIOR_RECEIPTED,,
